Model,overall_score,normal_score,expert_score,n_graded,n_ungraded,n_total,mean_score_per_item
o3_default,615.0,0.0,615.0,180,0,180,3.4166666666666665
o3_pro,659.0,0.0,659.0,180,0,180,3.661111111111111
o3_images,729.0,0.0,729.0,240,0,240,3.0375
gpt5,436.0,0.0,436.0,120,0,120,3.6333333333333333
opus,181.0,0.0,181.0,60,0,60,3.0166666666666666
sonnet,279.0,0.0,279.0,120,0,120,2.325
gemini_2.0_flash,247.0,0.0,247.0,119,1,120,2.058333333333333
gemini_2.0_flash_images,96.0,0.0,96.0,38,22,60,1.6
gemini_2.5,303.0,0.0,303.0,120,0,120,2.525
chatgpt-4o,284.0,0.0,284.0,120,0,120,2.3666666666666667
gpt4.1,285.0,0.0,285.0,120,0,120,2.375
gpt4.1_images,251.0,0.0,251.0,118,2,120,2.091666666666667
o4mini_high,342.0,0.0,342.0,119,1,120,2.85
o4mini_med,311.0,0.0,311.0,120,0,120,2.591666666666667
